8:46:51  FD-2717
8:51:51  FY-2063
8:56:3  DE-4490
9:1:6  GK-3407
9:6:7  HN-9314
9:11:10  FY-8320
9:16:27  XU-8732
9:21:14  EZ-4295
9:26:21  FO-0435
9:31:1  CK-5976
9:36:42  LX-6656
9:41:36  XF-6976
9:46:43  VV-8480
9:51:4  CK-0726
9:56:31  VD-9088
10:1:4  UV-3161
10:6:14  TM-1281
10:17:20  CG-4491
10:22:24  YO-0524
10:27:4  HP-5197
10:32:50  RK-7634
10:37:12  OA-7063
10:42:54  RQ-7931
10:47:9  UT-2790
10:52:26  RE-4285
10:57:28  NT-0182
11:2:53  IX-2030
11:7:1  AF-2430
11:12:7  QK-8868
11:17:39  ML-2934
11:28:12  WM-2037
11:33:15  IY-5858
11:38:41  TJ-6081
11:43:4  PM-7092
11:48:34  PA-2777
11:53:17  LA-9128
11:58:51  QL-6976
12:3:14  PH-8255
12:8:4  LT-9218
12:13:20  WF-6510
12:18:17  PJ-5565
12:29:36  TS-0841
12:34:54  HT-1873
12:39:55  GD-2909
12:44:8  PH-5616
12:49:4  NQ-6618
12:54:23  HO-4183
12:59:22  DN-6079
13:4:53  LY-7047
13:15:1  BN-6910
13:26:9  KU-0133
13:31:57  QZ-1512
13:36:49  AK-2236
